id,user_id,user_gender,user_age,article_id,category_id,avg_expending,weekday_id,hour_id
1,108,2,48,12,4,218.0,3,1
2,35,2,21,19,3,227.0,7,6
3,79,1,40,3,1,218.0,5,12
4,116,1,41,15,3,136.0,4,13
5,144,2,47,14,2,235.0,6,2
6,35,2,21,10,4,27.0,7,2
7,54,2,58,18,2,93.0,1,11
8,66,1,22,4,2,137.0,5,24
9,199,2,36,16,4,347.0,4,15
10,119,2,29,5,2,31.0,4,13
11,23,2,44,7,3,189.0,6,0
12,9,2,39,8,3,234.0,7,2
13,87,2,35,18,2,168.0,1,0
14,50,1,41,7,3,248.0,1,4
15,44,2,56,4,2,40.0,2,4
16,119,2,29,11,4,309.0,4,22
17,72,1,45,13,1,250.0,4,13
18,50,1,41,14,2,255.0,3,13
19,183,2,39,1,1,234.0,1,1
20,46,1,24,7,3,39.0,2,17
21,123,2,47,12,4,322.0,2,2
22,169,1,49,9,3,304.0,3,1
23,64,1,40,12,4,262.0,5,8
24,125,1,31,11,4,102.0,7,17
25,28,1,35,16,4,272.0,1,0
26,140,1,47,11,4,267.0,3,24
27,53,1,33,13,1,317.0,5,4
28,144,2,47,16,4,206.0,5,12
29,160,2,47,5,2,189.0,7,4
30,27,1,25,7,3,287.0,1,3
31,193,1,57,8,3,61.0,4,24
32,12,2,33,16,4,72.0,1,20
33,8,2,54,10,4,394.0,1,14
34,173,1,34,8,3,89.0,3,6
35,40,2,28,5,2,135.0,6,10
36,64,1,40,4,2,327.0,1,22
37,79,1,40,10,4,256.0,5,15
38,134,1,52,8,3,397.0,4,5
39,68,2,43,13,1,124.0,6,15
40,23,2,44,2,1,135.0,3,18
41,51,1,59,13,1,192.0,2,8
42,150,1,47,20,4,303.0,3,2
43,152,2,29,6,2,227.0,4,4
44,121,1,23,14,2,132.0,4,13
45,52,2,25,1,1,333.0,5,13
46,31,1,22,4,2,10.0,4,4
47,44,2,56,5,2,169.0,7,11
48,81,1,44,14,2,136.0,7,4
49,95,1,41,3,1,313.0,5,8
50,113,2,47,20,4,192.0,3,20
51,151,2,58,6,2,201.0,5,5
52,159,1,26,1,1,8.0,6,23
53,35,2,21,15,3,80.0,6,5
54,15,2,60,6,2,264.0,3,3
55,99,1,37,4,2,150.0,2,3
56,171,2,35,8,3,131.0,2,11
57,51,1,59,18,2,325.0,3,6
58,181,2,21,10,4,299.0,1,10
59,125,1,31,14,2,4.0,3,20
60,159,1,26,19,3,113.0,1,9
61,175,1,22,17,1,123.0,2,12
62,131,1,22,17,1,15.0,6,1
63,109,2,59,18,2,25.0,5,0
64,33,1,42,4,2,306.0,7,20
65,61,1,51,7,3,335.0,3,9
66,172,1,58,14,2,371.0,5,8
67,8,2,54,6,2,122.0,6,21
68,16,1,46,12,4,146.0,3,10
69,34,1,24,18,2,37.0,6,21
70,73,2,20,18,2,4.0,5,22
71,175,1,22,12,4,189.0,1,9
72,15,2,60,8,3,173.0,5,21
73,113,2,47,10,4,199.0,3,7
74,128,2,28,8,3,321.0,3,19
75,124,2,31,17,1,199.0,5,12
76,85,1,36,19,3,138.0,3,1
77,164,1,24,20,4,15.0,5,12
78,32,1,27,12,4,46.0,1,22
79,132,2,41,15,3,335.0,5,11
80,67,2,58,18,2,236.0,1,17
81,118,2,53,2,1,392.0,3,9
82,9,2,39,2,1,189.0,4,14
83,34,1,24,8,3,70.0,6,3
84,160,2,47,4,2,348.0,4,19
85,99,1,37,1,1,157.0,6,21
86,85,1,36,12,4,356.0,3,19
87,78,2,29,12,4,96.0,3,21
88,197,2,35,14,2,8.0,7,14
89,76,1,27,8,3,254.0,2,21
90,142,2,44,15,3,173.0,2,19
91,183,2,39,14,2,65.0,7,4
92,50,1,41,15,3,103.0,7,16
93,157,1,60,12,4,155.0,1,2
94,65,1,49,18,2,199.0,5,4
95,34,1,24,18,2,173.0,1,19
96,119,2,29,9,3,126.0,7,23
97,23,2,44,19,3,55.0,4,11
98,28,1,35,5,2,119.0,2,9
99,194,2,43,8,3,293.0,7,21
100,118,2,53,4,2,137.0,5,21
101,50,1,41,7,3,131.0,6,5
102,49,1,48,15,3,222.0,7,13
103,199,2,36,14,2,321.0,1,24
104,57,1,25,20,4,43.0,3,7
105,160,2,47,14,2,227.0,6,11
106,109,2,59,8,3,92.0,1,12
107,96,1,45,17,1,123.0,4,5
108,42,2,29,6,2,334.0,3,9
109,32,1,27,19,3,116.0,1,2
110,79,1,40,15,3,230.0,3,16
111,52,2,25,7,3,374.0,6,4
112,146,2,34,7,3,298.0,2,1
113,50,1,41,18,2,145.0,5,10
114,59,2,49,14,2,68.0,5,17
115,33,1,42,18,2,107.0,3,9
116,30,1,52,15,3,363.0,6,10
117,20,2,51,17,1,235.0,7,6
118,156,2,38,10,4,374.0,3,0
119,68,2,43,18,2,356.0,4,17
120,94,2,28,17,1,131.0,5,9
121,96,1,45,19,3,15.0,7,11
122,31,1,22,6,2,362.0,2,5
123,113,2,47,6,2,241.0,6,7
124,93,2,49,12,4,314.0,5,24
125,33,1,42,11,4,368.0,3,22
126,156,2,38,8,3,351.0,6,24
127,130,1,53,2,1,186.0,3,19
128,0,2,47,5,2,124.0,7,4
129,185,2,40,2,1,102.0,3,15
130,165,2,42,5,2,39.0,7,24
131,5,2,26,19,3,343.0,2,22
132,97,1,54,6,2,200.0,6,0
133,60,2,45,17,1,164.0,6,23
134,188,2,46,10,4,152.0,7,14
135,139,2,23,1,1,304.0,2,7
136,183,2,39,16,4,95.0,5,10
137,169,1,49,16,4,199.0,3,17
138,105,1,41,1,1,359.0,4,12
139,67,2,58,6,2,33.0,4,21
140,87,2,35,13,1,15.0,2,13
141,144,2,47,13,1,58.0,7,13
142,110,2,44,14,2,247.0,2,4
143,93,2,49,10,4,379.0,1,22
144,127,1,33,5,2,325.0,6,24
145,173,1,34,15,3,305.0,1,18
146,152,2,29,1,1,159.0,5,24
147,107,1,22,19,3,280.0,1,10
148,105,1,41,11,4,316.0,5,21
149,159,1,26,19,3,183.0,7,22
150,87,2,35,19,3,23.0,2,11
151,102,1,45,19,3,172.0,4,14
152,33,1,42,10,4,74.0,3,14
153,20,2,51,15,3,323.0,7,24
154,49,1,48,13,1,50.0,5,18
155,60,2,45,20,4,364.0,2,12
156,22,2,39,16,4,154.0,1,12
157,191,2,30,2,1,88.0,2,14
158,102,1,45,4,2,146.0,5,9
159,97,1,54,19,3,218.0,2,6
160,37,1,36,7,3,134.0,2,21
161,159,1,26,18,2,347.0,5,6
162,83,1,52,4,2,44.0,4,0
163,4,1,58,11,4,291.0,7,0
164,17,2,36,14,2,312.0,1,9
165,180,1,42,20,4,371.0,2,19
166,126,1,40,18,2,44.0,2,19
167,156,2,38,10,4,243.0,2,20
168,86,1,41,8,3,100.0,7,16
169,24,1,32,17,1,394.0,3,14
170,144,2,47,9,3,397.0,7,8
171,128,2,28,11,4,13.0,3,0
172,118,2,53,10,4,75.0,4,2
173,131,1,22,13,1,328.0,4,7
174,154,2,28,7,3,202.0,7,20
175,140,1,47,19,3,231.0,3,19
176,181,2,21,3,1,87.0,1,12
177,149,2,39,8,3,185.0,4,6
178,97,1,54,5,2,21.0,5,1
179,133,2,22,2,1,29.0,6,9
180,199,2,36,3,1,327.0,5,16
181,78,2,29,18,2,118.0,3,1
182,54,2,58,15,3,139.0,5,10
183,43,1,29,12,4,275.0,2,21
184,32,1,27,5,2,241.0,7,5
185,78,2,29,14,2,204.0,3,17
186,73,2,20,15,3,293.0,7,9
187,163,2,42,7,3,121.0,2,9
188,6,1,53,7,3,321.0,4,5
189,31,1,22,1,1,108.0,2,10
190,52,2,25,19,3,217.0,3,12
191,1,1,50,7,3,327.0,4,7
192,144,2,47,10,4,40.0,1,0
193,151,2,58,10,4,214.0,4,16
194,22,2,39,12,4,334.0,4,3
195,196,2,23,11,4,325.0,2,0
196,13,1,43,5,2,200.0,2,7
197,169,1,49,2,1,17.0,1,4
198,154,2,28,7,3,162.0,3,18
199,68,2,43,1,1,241.0,3,24
200,84,1,34,3,1,56.0,4,6
201,145,1,30,12,4,166.0,5,9
202,31,1,22,16,4,110.0,5,21
203,82,2,43,10,4,282.0,5,2
204,29,1,48,13,1,355.0,1,21
205,173,1,34,15,3,292.0,7,11
206,172,1,58,15,3,399.0,4,15
207,175,1,22,20,4,98.0,7,12
208,182,2,57,20,4,279.0,6,4
209,93,2,49,7,3,2.0,1,3
210,4,1,58,14,2,4.0,1,3
211,150,1,47,13,1,329.0,7,22
212,9,2,39,7,3,316.0,6,0
213,83,1,52,5,2,159.0,2,24
214,199,2,36,3,1,29.0,6,2
215,184,2,24,9,3,224.0,1,2
216,32,1,27,18,2,362.0,7,3
217,73,2,20,14,2,96.0,2,3
218,59,2,49,20,4,95.0,4,8
219,153,2,52,7,3,158.0,6,23
220,158,1,23,8,3,32.0,4,23
221,185,2,40,17,1,290.0,6,1
222,193,1,57,5,2,249.0,1,13
223,53,1,33,10,4,62.0,5,1
224,47,1,29,11,4,216.0,1,6
225,151,2,58,7,3,124.0,7,23
226,6,1,53,7,3,333.0,1,3
227,54,2,58,17,1,348.0,1,7
228,175,1,22,4,2,154.0,2,16
229,86,1,41,7,3,368.0,2,22
230,9,2,39,5,2,195.0,6,5
231,108,2,48,20,4,190.0,5,12
232,133,2,22,11,4,397.0,4,3
233,195,1,20,1,1,15.0,2,13
234,1,1,50,2,1,124.0,6,10
235,132,2,41,16,4,39.0,4,18
236,164,1,24,7,3,139.0,3,7
237,194,2,43,14,2,337.0,2,2
238,72,1,45,11,4,22.0,2,13
239,55,2,50,10,4,265.0,4,11
240,27,1,25,11,4,399.0,2,11
241,130,1,53,18,2,276.0,3,16
242,108,2,48,2,1,246.0,6,11
243,53,1,33,4,2,254.0,7,14
244,64,1,40,2,1,85.0,4,4
245,184,2,24,19,3,360.0,4,21
246,80,1,38,13,1,310.0,6,10
247,85,1,36,8,3,82.0,1,20
248,9,2,39,4,2,242.0,5,16
249,156,2,38,15,3,222.0,5,5
250,19,1,57,1,1,277.0,1,3
251,32,1,27,20,4,9.0,5,4
252,123,2,47,15,3,304.0,3,1
253,131,1,22,1,1,164.0,2,6
254,67,2,58,7,3,382.0,2,16
255,69,1,41,9,3,76.0,2,20
256,195,1,20,15,3,106.0,7,17
